date,dji,test_1_ens_no_indic,test_2_ens_default_indic,test_3_ens_def_mix_indic,test_4_ens_diff_indic,test_5_ens_extensive_indic
2023-02-27,898976.0057,852763.6263,887117.8355,911248.1327,781921.0221,1023798.763
2023-02-28,892623.942,849294.9554,881364.1251,908981.7117,773728.9156,1021433.823
2023-03-01,892764.4536,851312.0027,878597.6638,903042.5954,769849.4747,1029346.655
2023-03-02,902105.1648,854420.3962,886569.2144,908785.1344,774278.6425,1040091.76
2023-03-03,912694.1444,864790.1301,892704.7465,921806.2,778889.825,1053048.892
2023-03-06,913800.4063,863510.2307,896243.9572,927267.3136,782071.5084,1049605.172
2023-03-07,898084.1415,844064.8787,884816.9988,913807.9964,770189.4431,1027328.052
2023-03-08,896497.0865,845161.7974,879691.1351,913491.0555,766990.374,1030806.459
2023-03-09,881640.2273,826096.9191,867656.6159,902303.0447,756813.7225,1008932.657
2023-03-10,872204.1689,818272.5843,865192.1332,897120.7079,752639.867,989611.4122
2023-03-13,869730.4815,819099.0049,864172.1574,897764.2194,755606.2568,986487.6
2023-03-14,878921.6589,823873.3807,869014.6213,907902.8001,757729.1726,995145.3341
2023-03-15,871245.5723,818944.6987,859686.3762,909987.7288,757859.1109,985886.5166
2023-03-16,881413.1238,826716.9271,872171.2506,918817.6259,764502.5624,993897.394
2023-03-17,870901.447,817425.3463,856653.2684,913443.1,761724.884,984424.8717
2023-03-20,881359.2575,827105.2212,869470.5859,921532.117,771964.7146,1000191.794
2023-03-21,889997.1972,834453.4577,875446.3583,926756.3462,777510.7768,1013228.107
2023-03-22,875497.0091,820096.9752,861356.614,913005.0975,767185.9979,993736.1
2023-03-23,877550.8701,823211.1757,860594.6884,918232.946,762097.0444,994392
2023-03-24,881166.5345,824283.2771,865971.5428,923760.6,768869.5592,997774.1355
2023-03-27,886484.3006,828850.4862,870925.1184,926193.3,775304.9962,999627.5176
2023-03-28,885450.2697,828329.7972,872721.8461,926775.8,766699.6051,1004926.043
2023-03-29,894288.5666,835420.8401,881426.927,940514.1578,763850.2471,1016669.478
2023-03-30,898154.3973,840339.9039,884174.786,946037.7147,769318.3567,1020974.437
2023-03-31,909501.029,852546.7832,891794.7295,956898.2217,777808.2149,1033635.049
2023-04-03,918439.1041,859899.6683,899281.5807,966521.3,801941.4441,1040026.418
2023-04-04,913006.0246,852201.8022,893622.6579,964267.0904,799363.4762,1029356.555
2023-04-05,915201.9988,855000.2506,894450.4819,967889.0448,812200.1126,1024148.15
2023-04-06,915272.2546,854054.0094,898740.0174,966924.6078,814357.9379,1016861.915
2023-04-10,918039.2439,857089.9237,901500.5589,965588.8,817769.0142,1023854.34
2023-04-11,920725.3004,861953.7368,900891.0913,965991.0477,824408.0153,1029291.312
2023-04-12,919678.7239,857439.0579,902633.2709,961708.6089,822465.4954,1023354.249
2023-04-13,930152.7103,867144.0719,913628.8494,974286.3233,830086.6079,1035241.735
2023-04-14,926237.9248,867329.818,906336.2749,969847.1014,813997.3052,1034707.96
2023-04-17,928990.7135,862804.247,907786.0387,974427.788,808243.0576,1039149.803
2023-04-18,928702.3231,861511.4518,906405.8918,974336.064,807773.6457,1038634.431
